;cnpj;nome;qual
0;16.575.851/0001-00;AMANDA LUZ SANT ANNA;10-Diretor
1;16.575.851/0001-00;THIAGO DOS SANTOS PIAU;16-Presidente
2;16.575.851/0001-00;RAFAEL MARTINS PEREIRA;10-Diretor
3;12.592.831/0001-89;THIAGO DOS SANTOS PIAU;16-Presidente
4;12.592.831/0001-89;CARLOS ALBERTO BORDINI;10-Diretor
5;12.592.831/0001-89;AUGUSTO BARBOSA ESTELLITA LINS;10-Diretor
6;12.592.831/0001-89;SANDRA RIBAS BOLFER;10-Diretor
7;12.592.831/0001-89;MAURICIO DE OLIVEIRA ZANELLA;10-Diretor
8;12.592.831/0001-89;VINICIUS DO NASCIMENTO CARRASCO;10-Diretor
9;12.592.831/0001-89;CAIO FIUZA SILVA;10-Diretor
10;12.592.831/0001-89;MARCELO BASTIANELLO BALDIN;10-Diretor
